VRM,OfferDate,Condition,Age,Mileage,PreviousOwners,ServiceHistory,Make,Model,TransmissionType,FuelType,Colour,BodyType,TradeValuation1,CompetitorB,CompetitorC
SG57CZZ,2021-04-05,good,13.4,88300,2,full,Suzuki,Grand Vitara,,,Beige,,1427,1200,1504
CU13OZD,2021-04-05,good,8,90000,3,partial,Vauxhall,Zafira,,,White,,1767,1559,1715
GD14GNN,2021-04-05,average,6.9,190000,2,partial,Volkswagen,Passat,,,White,,1240,954,1433
PY12NFH,2021-04-05,average,9.1,76000,2,full,SKODA,Fabia,,,Blue,,3224,2473,2561
YK11MYL,2021-04-05,good,10.1,103000,1,partial,Peugeot,107,,,Silver,,577,504,822
G17OBR,2021-04-05,average,5.5,60000,2,partial,Nissan,Pulsar,,,White,,4057,3641,3595
BV64LBE,2021-04-05,good,6.2,60000,1,partial,Vauxhall,Astra,,,White,,3133,3032,3266
WL08FEP,2021-04-05,good,12.7,55000,2,full,Fiat,Panda,,,Orange,,357,459,376
FE13UZD,2021-04-05,good,8,38300,2,partial,Nissan,Qashqai+2,,,White,,5991,5309,6204
DN07KXJ,2021-04-05,poor,13.8,130000,2,partial,Vauxhall,Astra,,,Grey,,150,130,188
WP13AEB,2021-04-05,average,7.8,151000,2,full,Volvo,V40,,,Grey,,2170,1644,1809
OY13WLO,2021-04-05,good,7.9,97000,2,partial,Honda,Civic,,,Brown,,2811,2227,2937
FV07YZP,2021-04-05,poor,13.7,117000,3,none,Ford,C-Max,,,Blue,,150,275,282
HK65CFO,2021-04-05,average,5.2,90000,1,full,BMW,3 Series,,,Black,,6598,5762,5875
GV09URC,2021-04-05,average,11.7,98000,1,full,Peugeot,107,,,Blue,,471,442,587
FD57DXW,2021-04-05,average,13.5,52134,2,none,Nissan,X-Trail,,,Grey,,2979,1996,2162
LX06OTE,2021-04-05,good,15.1,101000,2,full,Mercedes-Benz,C Class,,,Blue,,627,796,1010
WR65CEU,2021-04-05,good,5.5,66000,1,full,Fiat,500X,,,Blue,,4815,4811,4535
MV57CGE,2021-04-05,poor,13.6,118000,4,none,Volkswagen,Beetle,,,Red,,150,307,376
YH59FPT,2021-04-05,good,11.5,86000,3,full,BMW,1 Series,,,Blue,,2655,2409,2373
YC17WXP,2021-04-05,good,4,60500,2,full,Land Rover,Discovery,,,Grey,,27550,28168,24910
FE13WCW,2021-04-05,poor,8.1,56000,1,full,Nissan,Juke,,,White,,3373,2638,2420
OU12ZGF,2021-04-05,poor,9.1,58020,1,partial,Fiat,500,,,Black,,2185,1680,1574
NJ13VOO,2021-04-05,good,8.1,64000,1,partial,BMW,3 Series,,,White,,5377,5309,5217
GXZ3584,2021-04-05,average,6.7,40000,3,full,Vauxhall,Zafira,,,Brown,,3356,2738,2961
AV59CGK,2021-04-05,poor,11.5,51500,1,full,Fiat,Panda,,,Blue,,714,597,493
YH11TCY,2021-04-05,good,10,109000,2,full,Volkswagen,Golf,,,Blue,,2760,2409,2702
SD60GWE,2021-04-05,average,10.3,120000,4,none,Saab,9-3,,,White,,1299,691,963
NG10CTZ,2021-04-05,good,10.7,73000,1,none,Vauxhall,Corsa,,,White,,1013,575,1034
CA65WVO,2021-04-05,average,5.2,36000,0,partial,Renault,Clio,,,White,,3923,3855,3595
BU63FWY,2021-04-05,good,7.4,104000,1,partial,Audi,A6 Avant,,,Black,,8091,7148,7567
VU09YCV,2021-04-05,poor,11.7,43286,3,partial,Ford,Ka,,,Blue,,1124,694,846
VA16XNR,2021-04-05,good,4.6,89400,2,full,Ford,Mondeo,,,Grey,,6087,5866,5828
YP63UOD,2021-04-05,poor,7.2,53000,3,partial,Ford,Ka,,,Red,,2461,1600,1692
FN63YXP,2021-04-05,good,7.6,38000,1,full,Citroen,Grand C4 Picasso,,,Silver,,4526,3706,4488
YT62JDJ,2021-04-05,excellent,8.6,44060,2,none,Ford,Galaxy,,,Silver,,4560,3500,3642
L15CPM,2021-04-05,average,12.3,95000,2,full,Audi,A5,,,Red,,3781,3422,3337
YH64POJ,2021-04-05,good,6.5,29650,2,full,Vauxhall,ADAM,,,Blue,,3532,3318,3431
BW15NLZ,2021-04-05,good,5.7,78000,1,full,Kia,Sportage,,,Silver,,5494,5288,5593
DF10KNN,2021-04-05,average,10.7,91000,3,partial,Mazda,Mazda3,,,Grey,,1268,828,1245
SH64MXS,2021-04-05,excellent,6.4,103000,1,full,Volkswagen,Golf,,,Black,,4887,4735,4747
DG63ZNV,2021-04-06,good,7.5,87000,1,partial,SKODA,Superb,,,Purple,,5574,4784,4841
LB14KXV,2021-04-06,good,6.7,38000,0,partial,Vauxhall,Corsa,,,Blue,,2718,2409,2726
KR63EYX,2021-04-06,good,7.4,106000,4,partial,Audi,A6 Avant,,,Grey,,7452,6514,6909
EX13WJA,2021-04-06,good,8,68500,1,partial,Hyundai,i30,,,Grey,,2937,2409,2702
EF09JVC,2021-04-06,poor,11.7,100000,2,full,Ford,Focus,,,Blue,,989,477,752
SB61OBO,2021-04-06,average,9.3,30000,2,partial,Nissan,Micra,,,Black,,2776,2349,2538
HN12ZNW,2021-04-06,excellent,8.8,63000,1,full,Toyota,Yaris,,,Silver,,2704,3130,2843
KP14KNR,2021-04-06,good,6.9,68000,2,full,Mercedes-Benz,C Class,,,Silver,,6230,6305,5781
BJ58PUV,2021-04-06,average,12.4,58000,1,full,Honda,Civic,,,Grey,,2558,2221,2326
LR63LUE,2021-04-06,good,7.5,76000,2,partial,Mercedes-Benz,SLK,,,Black,,6744,7371,6627
CP14EWR,2021-04-06,good,6.8,66000,2,full,BMW,1 Series,,,White,,5093,4811,5311
B10OML,2021-04-06,good,8.6,57000,0,full,Audi,A1,,,Red,,5744,5744,5593
FN15OJB,2021-04-06,average,6,70000,1,full,Volvo,V40 Cross Country,,,Black,,5567,4992,4747
YE10DBX,2021-04-06,poor,10.9,110000,3,partial,BMW,1 Series,,,Blue,,2104,1706,1668
CA13CLD,2021-04-06,good,7,32000,2,full,Citroen,DS3,,,Red,,3271,2773,3102
