,,,,,,,
VRM,PurchaseDate,SaleDate,Mileage,GradeatAuction,TradeValuation2,SalePrice,Sale_TradeValuation2
PX08YOT,2021-04-14,2021-05-04,122323,3,990,850,85.90%
KU07PUM,2021-04-14,2021-05-10,71006,5,1050,650,61.90%
YH10YRG,2021-04-14,2021-05-04,122782,3,2350,2250,95.70%
DY57XJZ,2021-04-15,2021-05-04,88224,4,1375,2050,149.10%
FD61BCF,2021-04-15,2021-05-06,127958,3,2775,2550,91.90%
SH09HJV,2021-04-15,2021-05-06,98918,4,2475,2250,90.90%
YX12WEK,2021-04-15,2021-05-13,50517,4,2775,2200,79.30%
BJ64AZD,2021-04-15,2021-05-06,87560,3,6200,6950,112.10%
YF07JYJ,2021-04-15,2021-06-03,32924,4,1825,1850,101.40%
KW59RVE,2021-04-15,2021-05-04,80803,3,2550,2450,96.10%
KU16OZL,2021-04-15,2021-05-04,89812,4,3125,2850,91.20%
WJ12LVW,2021-04-15,2021-05-17,120223,3,2475,2075,83.80%
LX62VBV,2021-04-15,2021-05-11,75924,,4550,4650,102.20%
NJ60OUP,2021-04-15,2021-05-06,59600,4,1475,1100,74.60%
WF15NWX,2021-04-15,2021-05-04,91858,3,5375,5150,95.80%
YR11RXG,2021-04-15,2021-05-10,85688,4,1550,1150,74.20%
KM61VFW,2021-04-15,2021-05-04,119111,4,7950,8000,100.60%
DX13UER,2021-04-15,2021-05-10,47755,2,10350,11700,113.00%
NG62ALO,2021-04-15,2021-05-17,78087,5,1550,1175,75.80%
GV10OGZ,2021-04-15,2021-05-13,79623,4,2700,2575,95.40%
PK13CKJ,2021-04-15,2021-05-17,44058,4,4075,4200,103.10%
LP13GXC,2021-04-15,2021-05-06,74412,3,5750,6600,114.80%
SB60KGG,2021-04-16,2021-05-10,104094,4,3850,3400,88.30%
GK13ZTX,2021-04-16,2021-05-04,54134,3,2875,2750,95.70%
KFZ4974,2021-04-16,2021-06-03,44171,3,5600,5950,106.30%
KW62ERY,2021-04-16,2021-05-06,36238,3,4575,4850,106.00%
MA11SRX,2021-04-16,2021-06-03,42071,4,4050,3400,84.00%
GJ61LUA,2021-04-16,2021-05-13,60628,3,3150,3250,103.20%
LS11XEW,2021-04-16,2021-05-06,52455,4,1925,1550,80.50%
SD60GDA,2021-04-16,2021-04-29,81612,3,5275,5700,108.10%
GJ61LHB,2021-04-16,2021-05-17,37466,4,1800,1950,108.30%
CA14OSL,2021-04-16,2021-05-04,83339,3,3075,3300,107.30%
AK13BCU,2021-04-16,2021-05-17,110353,3,4200,4050,96.40%
KN63BYK,2021-04-16,2021-05-10,76659,3,3325,3350,100.80%
KV65DWG,2021-04-16,2021-05-06,44318,2,3150,3400,107.90%
LB59ULP,2021-04-16,2021-05-17,127709,3,4100,4200,102.40%
EX56DUV,2021-04-16,2021-05-10,115245,4,510,325,63.70%
MM10JFA,2021-04-16,2021-05-10,48802,4,1725,1850,107.20%
DY58RHX,2021-04-16,2021-05-13,89100,3,990,775,78.30%
GP59FNF,2021-04-16,2021-05-20,42883,4,2200,2600,118.20%
ND59VSV,2021-04-16,2021-05-06,89460,4,1050,575,54.80%
BN13CXK,2021-04-16,2021-06-10,34487,4,4000,3300,82.50%
GF10DVA,2021-04-16,2021-05-10,53527,3,5950,6700,112.60%
WV08VNT,2021-04-16,2021-05-27,74774,5,780,375,48.10%
HV10WOA,2021-04-16,2021-05-06,82216,4,2125,2300,108.20%
DN12TLU,2021-04-16,2021-05-13,37939,1,4050,4550,112.30%
PN62XSG,2021-04-16,2021-05-20,57358,4,2725,2300,84.40%
LB62OBO,2021-04-16,2021-05-06,76811,3,3375,3750,111.10%
GV09GBY,2021-04-16,2021-05-10,104800,4,6350,5900,92.90%
YB12ACZ,2021-04-16,2021-05-13,67340,3,2975,3000,100.80%
ST11XCZ,2021-04-16,2021-05-20,59943,4,2025,1875,92.60%
CY57KFO,2021-04-17,2021-05-10,79795,3,810,650,80.20%
MV65FRC,2021-04-17,2021-06-03,49790,3,5575,5700,102.20%
DK11YWH,2021-04-17,2021-05-17,56778,5,3025,2850,94.20%
GJ13XSN,2021-04-17,2021-05-17,68399,4,3075,3100,100.80%
YH62TGF,2021-04-17,2021-05-13,68715,4,3450,3250,94.20%
WJ13NHC,2021-04-17,2021-05-17,49003,5,6575,5350,81.40%
LC09EAX,2021-04-17,2021-05-04,32748,4,1875,1950,104.00%
AD09UPJ,2021-04-17,2021-06-03,143285,4,1675,1325,79.10%
SM57BNV,2021-04-17,2021-05-17,45852,5,2375,1750,73.70%
CV14BYF,2021-04-17,2021-05-13,81524,3,4175,4800,115.00%
HJ11SYG,2021-04-17,2021-05-27,87908,4,2425,2300,94.80%
YK11KYV,2021-04-17,2021-05-13,42002,4,1575,1275,81.00%
HN59JWZ,2021-04-17,2021-05-13,67577,3,1400,1675,119.60%
NL12EHO,2021-04-17,2021-05-06,41875,2,3350,3950,117.90%
NU09NLM,2021-04-17,2021-05-13,66725,3,1875,2000,106.70%
YK05TGJ,2021-04-17,2021-06-10,38189,3,1325,1150,86.80%
KX60ZPD,2021-04-17,2021-05-27,58695,3,4525,4800,106.10%
OY13LRU,2021-04-17,2021-06-10,162269,4,2375,1825,76.80%
LS11HYV,2021-04-18,2021-05-10,58032,3,2800,2800,100.00%
TJ07KEX,2021-04-18,2021-05-13,58484,4,1100,975,88.60%
VN62HVK,2021-04-18,2021-06-03,122673,3,2425,1600,66.00%
CX59SEY,2021-04-18,2021-05-17,101779,3,2300,2125,92.40%
SM07OBV,2021-04-18,2021-05-27,96763,4,830,375,45.20%
FY12VYZ,2021-04-18,2021-05-24,92828,2,3675,4050,110.20%
LL11SFO,2021-04-18,2021-05-13,69574,4,4100,3600,87.80%
GU09MRO,2021-04-18,2021-05-13,55374,5,2800,2050,73.20%
EA11XKN,2021-04-18,2021-05-20,108695,3,5375,5350,99.50%
BN63OLW,2021-04-18,2021-05-10,36949,2,3875,4500,116.10%
DU10LNE,2021-04-18,2021-05-13,64114,3,4825,5200,107.80%
EJ08VFF,2021-04-18,2021-05-24,119965,4,850,700,82.40%
EF13HXR,2021-04-18,2021-05-13,84375,2,3750,4300,114.70%
YK61RBU,2021-04-18,2021-05-04,68651,4,6675,8075,121.00%
LD62LWZ,2021-04-18,2021-05-24,40010,3,5750,6000,104.30%
YS60MLX,2021-04-18,2021-05-06,42192,3,4975,4750,95.50%
LS62HMX,2021-04-18,2021-05-06,54879,3,2525,2450,97.00%
LC13DGZ,2021-04-18,2021-05-13,137574,4,2025,1825,90.10%
KN58ZCO,2021-04-18,2021-05-17,90687,4,4050,3450,85.20%
PX07KRO,2021-04-18,2021-05-20,51801,3,2075,2250,108.40%
BK11OKW,2021-04-19,2021-05-13,124626,4,1375,1000,72.70%
AJ11RUW,2021-04-19,2021-05-27,103309,4,3925,3100,79.00%
EX13LGY,2021-04-19,2021-05-20,81089,2,2675,3050,114.00%
FY15RSZ,2021-04-19,2021-05-10,89094,3,10200,11000,107.80%
YC62LBL,2021-04-19,2021-05-06,55689,3,1900,2000,105.30%
MJ06VUT,2021-04-19,2021-05-13,92716,5,710,350,49.30%
WJ61VGC,2021-04-19,2021-05-10,133279,3,2925,2950,100.90%
SP12OFW,2021-04-19,2021-05-13,85093,4,2400,1975,82.30%
SP60SRZ,2021-04-19,2021-05-13,78554,5,1700,950,55.90%
FN61YUK,2021-04-19,2021-05-13,78724,2,1575,1550,98.40%
YC61NZX,2021-04-19,2021-05-10,29079,4,5025,4650,92.50%
HN62UAS,2021-04-19,2021-05-17,60784,3,3700,3850,104.10%
AK11AXR,2021-04-19,2021-05-27,145424,4,1550,950,61.30%
SK59JEJ,2021-04-19,2021-05-10,155994,4,870,675,77.60%
HD06UAO,2021-04-19,2021-05-10,77251,3,3425,3450,100.70%
FY10XNU,2021-04-19,2021-05-24,98292,4,4025,4350,108.10%
FH15ZYW,2021-04-19,2021-05-24,83014,3,2450,2450,100.00%
DX13ULW,2021-04-19,2021-06-28,54037,2,2675,2700,100.90%
EO63GBZ,2021-04-20,2021-05-10,67495,2,3450,3950,114.50%
FE07OWA,2021-04-20,2021-05-17,127110,,1175,1100,93.60%
AK09TYG,2021-04-20,2021-05-20,87430,3,2750,3400,123.60%
KM09OAG,2021-04-20,2021-05-17,53326,4,1250,1300,104.00%
WJ11OAY,2021-04-20,2021-05-04,77282,3,4475,4400,98.30%
WM15VKA,2021-04-20,2021-05-10,37044,2,4075,4550,111.70%
RJ59VMA,2021-04-20,2021-05-13,134865,4,1075,800,74.40%
SP12URM,2021-04-20,2021-05-13,51519,3,1575,1400,88.90%
SH14DVY,2021-04-20,2021-05-17,64432,4,3200,3300,103.10%
HV09NHZ,2021-04-20,2021-06-03,104878,4,1775,1400,78.90%
NA63WZZ,2021-04-20,2021-05-13,39641,4,4350,4000,92.00%
LN63KFD,2021-04-20,2021-05-17,43962,4,4300,3300,76.70%
RK57PYB,2021-04-21,2021-05-13,51683,4,1900,1700,89.50%
NA09RGZ,2021-04-21,2021-05-06,99732,4,3100,2550,82.30%
LP15OKL,2021-04-21,2021-05-13,32517,2,4000,4000,100.00%
KK07HGZ,2021-04-21,2021-05-20,116429,5,740,400,54.10%
YX61ZWT,2021-04-21,2021-05-13,40511,3,2675,3150,117.80%
DK61TZT,2021-04-21,2021-05-20,17565,3,2275,2800,123.10%
CF11RXO,2021-04-21,2021-05-20,83133,4,1475,1550,105.10%
FH56XNY,2021-04-21,2021-06-03,126886,3,1250,750,60.00%
ND61HTC,2021-04-21,2021-05-06,110674,4,4700,4100,87.20%
YF11JXZ,2021-04-21,2021-05-06,55255,3,4225,4700,111.20%
RE62OBK,2021-04-21,2021-05-13,83934,3,2425,2500,103.10%
YE58ORT,2021-04-21,2021-05-17,103769,4,1825,1400,76.70%
HG09UXM,2021-04-21,2021-05-20,91904,4,840,600,71.40%
LR61ZTX,2021-04-21,2021-05-20,74171,3,6000,6600,110.00%
EK09CPZ,2021-04-21,2021-05-13,136554,4,1600,1300,81.30%
NA08NRY,2021-04-21,2021-05-27,124261,5,880,375,42.60%
HN56ATX,2021-04-21,2021-05-17,143647,4,1550,1200,77.40%
LC60LZX,2021-04-21,2021-05-17,71091,3,1900,1900,100.00%
DN13BFP,2021-04-21,2021-05-27,109480,5,8200,8400,102.40%
SA11UZR,2021-04-21,2021-05-13,83341,4,2750,2600,94.50%
AP64NUY,2021-04-21,2021-05-27,71265,4,4650,4050,87.10%
AG05MJX,2021-04-21,2021-06-10,35025,4,790,400,50.60%
RE13YAK,2021-04-21,2021-05-17,81813,4,3125,2600,83.20%
AV61YBA,2021-04-21,2021-05-13,154317,4,2825,3150,111.50%
WV13UUB,2021-04-21,2021-05-17,109416,3,2400,2200,91.70%
LJ13BGY,2021-04-21,2021-05-17,85088,2,7975,9100,114.10%
LM11WRF,2021-04-21,2021-05-20,59023,4,2350,2350,100.00%
ND13XLF,2021-04-21,2021-05-20,75249,3,6700,7000,104.50%
GV10UBP,2021-04-22,2021-05-13,109724,3,1175,1050,89.40%
MW63RHK,2021-04-22,2021-05-13,29257,2,10850,12050,111.10%
NG14VHM,2021-04-22,2021-05-20,73885,3,4075,4900,120.20%
NV59TNN,2021-04-22,2021-05-06,83505,3,910,950,104.40%
DF59WDN,2021-04-22,2021-05-27,22078,2,3125,3300,105.60%
KV08ZXF,2021-04-22,2021-05-24,92800,3,1200,1900,158.30%
MT56SSJ,2021-04-22,2021-05-17,62549,4,550,500,90.90%
GU59TXS,2021-04-22,2021-05-17,92069,4,1375,1300,94.50%
YR58JWM,2021-04-22,2021-05-17,36050,4,2325,2600,111.80%
GF12FYD,2021-04-22,2021-05-06,37515,2,3925,4350,110.80%
HG12RTZ,2021-04-22,2021-05-20,51722,4,2075,2150,103.60%
CV61WMM,2021-04-22,2021-05-17,89710,3,3200,3300,103.10%
MX64YRD,2021-04-22,2021-06-03,30660,2,4400,5050,114.80%
VK11ZLZ,2021-04-22,2021-05-20,133223,3,4125,4200,101.80%
EO56BOH,2021-04-22,2021-05-20,98059,4,1775,1800,101.40%
